Datetime,Tweet Id,Text,Username,Vaccine,zip_code,Hospital_Name,Capacity,Hour,Day,dayofweek
2021-05-23 13:25:17+05:30,1396374157315637251,"560001 on 23-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at VIKRAM HOSPITAL Covi-s(Capacity: 152, Dose 1: 55 slots left, Dose 2: 97 slots left)",BloreVaccine,COVISHIELD,560001,VIKRAM HOSPITAL Covi-,152,13,23,6
2021-05-22 19:43:30+05:30,1396106952543932427,"560099 on 24-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BangaloreUrban at Sparsh Hospital Basement(Capacity: 120, Dose 1: 80 slots left, Dose 2: 40 slots left)",BloreVaccine,COVISHIELD,560099,Sparsh Hospital Basemen,120,19,22,5
2021-05-22 19:29:16+05:30,1396103370700509185,"560099 on 24-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BangaloreUrban at Sparsh Hospital Basement(Capacity: 100, Dose 1: 50 slots left, Dose 2: 50 slots left)",BloreVaccine,COVISHIELD,560099,Sparsh Hospital Basemen,100,19,22,5
2021-05-22 19:22:51+05:30,1396101753506959363,"560099 on 24-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BangaloreUrban at Sparsh Hospital Basement(Capacity: 100, Dose 1: 40 slots left, Dose 2: 60 slots left)",BloreVaccine,COVISHIELD,560099,Sparsh Hospital Basemen,100,19,22,5
2021-05-22 18:23:41+05:30,1396086866386952192,"560001 on 25-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at MALLIGE HOSPITAL (18-44)(Capacity: 200, Dose 1: 200 slots left, Dose 2: 0 slots left)",BloreVaccine,COVISHIELD,560001,MALLIGE HOSPITAL,18,18,22,5
2021-05-22 18:22:14+05:30,1396086501084073985,"560001 on 24-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at MALLIGE HOSPITAL (18-44)(Capacity: 50, Dose 1: 50 slots left, Dose 2: 0 slots left)",BloreVaccine,COVISHIELD,560001,MALLIGE HOSPITAL,18,18,22,5
2021-05-22 17:23:45+05:30,1396071782415699971,"560001 on 22-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at VIKRAM HOSPITAL Covi-s(Capacity: 100, Dose 1: 50 slots left, Dose 2: 50 slots left)",BloreVaccine,COVISHIELD,560001,VIKRAM HOSPITAL Covi-,100,17,22,5
2021-05-22 16:57:12+05:30,1396065100495163392,"560103 on 24-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at Columbia Asia Sarjapur P3(Capacity: 80, Dose 1: 65 slots left, Dose 2: 15 slots left)",BloreVaccine,COVISHIELD,560103,Columbia Asia Sarjapur P,80,16,22,5
2021-05-22 15:28:21+05:30,1396042739989499907,"560076 on 24-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at APOLLO HOSPITAL 1(Capacity: 100, Dose 1: 100 slots left, Dose 2: 0 slots left)",BloreVaccine,COVISHIELD,560076,APOLLO HOSPITAL ,100,15,22,5
2021-05-22 15:11:25+05:30,1396038479511920642,"560001 on 22-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at SPARSH HOSPITAL(18 -44)(Capacity: 600, Dose 1: 300 slots left, Dose 2: 300 slots left)",BloreVaccine,COVISHIELD,560001,SPARSH HOSPITA,18,15,22,5
2021-05-22 14:37:35+05:30,1396029967134126080,"560030 on 24-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at APOLLO CRADLE - Koramangala(Capacity: 100, Dose 1: 100 slots left, Dose 2: 0 slots left)",BloreVaccine,COVISHIELD,560030,APOLLO CRADLE - Koramangal,100,14,22,5
2021-05-22 13:44:21+05:30,1396016568409092102,"560054 on 24-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at Ramaiah Memorial Hospital FF1(Capacity: 200, Dose 1: 75 slots left, Dose 2: 125 slots left)",BloreVaccine,COVISHIELD,560054,Ramaiah Memorial Hospital FF,200,13,22,5
2021-05-22 13:22:05+05:30,1396010965435510786,"560034 on 24-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at St Johns Hospital(Capacity: 100, Dose 1: 100 slots left, Dose 2: 0 slots left)",BloreVaccine,COVISHIELD,560034,St Johns Hospita,100,13,22,5
2021-05-22 12:34:36+05:30,1395999014651240448,"560011 on 22-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at Apollo Hospital-JAYANAGAR(Capacity: 70, Dose 1: 70 slots left, Dose 2: 0 slots left)",BloreVaccine,COVISHIELD,560011,Apollo Hospital-JAYANAGA,70,12,22,5
2021-05-22 11:45:15+05:30,1395986595623227393,"560078 on 22-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at VASAVI HOSPITAL KS LAYOUT(Capacity: 100, Dose 1: 50 slots left, Dose 2: 50 slots left)",BloreVaccine,COVISHIELD,560078,VASAVI HOSPITAL KS LAYOU,100,11,22,5
2021-05-22 11:39:44+05:30,1395985208902447106,"560001 on 23-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at VIKRAM HOSPITAL Covi-s(Capacity: 150, Dose 1: 130 slots left, Dose 2: 20 slots left)",BloreVaccine,COVISHIELD,560001,VIKRAM HOSPITAL Covi-,150,11,22,5
2021-05-22 11:29:13+05:30,1395982562984534016,"560001 on 23-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at VIKRAM HOSPITAL Covi-s(Capacity: 300, Dose 1: 150 slots left, Dose 2: 150 slots left)",BloreVaccine,COVISHIELD,560001,VIKRAM HOSPITAL Covi-,300,11,22,5
2021-05-22 09:34:53+05:30,1395953790168092672,"560024 on 22-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at COLUMBIA ASIA HEBBAL(Capacity: 50, Dose 1: 50 slots left, Dose 2: 0 slots left)",BloreVaccine,COVISHIELD,560024,COLUMBIA ASIA HEBBA,50,9,22,5
2021-05-22 09:16:33+05:30,1395949173183111169,"560102 on 22-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at AGARA UPHC JSS(Capacity: 600, Dose 1: 300 slots left, Dose 2: 300 slots left)",BloreVaccine,COVISHIELD,560102,AGARA UPHC JS,600,9,22,5
2021-05-22 08:22:08+05:30,1395935480353419265,"560020 on 22-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at APOLLO HOSPITAL SHESHADRIPURAM(Capacity: 100, Dose 1: 100 slots left, Dose 2: 0 slots left)",BloreVaccine,COVISHIELD,560020,APOLLO HOSPITAL SHESHADRIPURA,100,8,22,5
2021-05-22 07:35:26+05:30,1395923728102346752,"560011 on 22-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at Apollo Hospital-JAYANAGAR(Capacity: 30, Dose 1: 30 slots left, Dose 2: 0 slots left)",BloreVaccine,COVISHIELD,560011,Apollo Hospital-JAYANAGA,30,7,22,5
